ORDER_D,ITEM,COSTOMER_NAME,ORDER_DATE,STATUS,ORDER_UPDATE_TIMESTAMP
1,Item1,CUSTOMER_NAME1,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
1,Item1,CUSTOMER_NAME1,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:57:00
1,Item1,CUSTOMER_NAME1,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 20:59:00
2,Item2,CUSTOMER_NAME2,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
3,Item3,CUSTOMER_NAME3,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
4,Item4,CUSTOMER_NAME4,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
5,Item5,CUSTOMER_NAME5,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
6,Item6,CUSTOMER_NAME6,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
7,Item7,CUSTOMER_NAME7,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
8,Item8,CUSTOMER_NAME8,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
9,Item9,CUSTOMER_NAME9,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
10,Item10,CUSTOMER_NAME10,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
11,Item11,CUSTOMER_NAME11,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
12,Item12,CUSTOMER_NAME12,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
13,Item13,CUSTOMER_NAME13,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
14,Item14,CUSTOMER_NAME14,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
15,Item15,CUSTOMER_NAME15,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
16,Item16,CUSTOMER_NAME16,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
17,Item17,CUSTOMER_NAME17,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
18,Item18,CUSTOMER_NAME18,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
19,Item19,CUSTOMER_NAME19,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
20,Item20,CUSTOMER_NAME20,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
21,Item21,CUSTOMER_NAME21,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
22,Item22,CUSTOMER_NAME22,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
23,Item23,CUSTOMER_NAME23,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
24,Item24,CUSTOMER_NAME24,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
25,Item25,CUSTOMER_NAME25,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
26,Item26,CUSTOMER_NAME26,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
27,Item27,CUSTOMER_NAME27,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
28,Item28,CUSTOMER_NAME28,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
29,Item29,CUSTOMER_NAME29,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
30,Item30,CUSTOMER_NAME30,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
31,Item31,CUSTOMER_NAME31,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
32,Item32,CUSTOMER_NAME32,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
33,Item33,CUSTOMER_NAME33,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
34,Item34,CUSTOMER_NAME34,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
35,Item35,CUSTOMER_NAME35,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
36,Item36,CUSTOMER_NAME36,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
37,Item37,CUSTOMER_NAME37,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
38,Item38,CUSTOMER_NAME38,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
39,Item39,CUSTOMER_NAME39,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
40,Item40,CUSTOMER_NAME40,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
41,Item41,CUSTOMER_NAME41,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
42,Item42,CUSTOMER_NAME42,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
43,Item43,CUSTOMER_NAME43,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
44,Item44,CUSTOMER_NAME44,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
45,Item45,CUSTOMER_NAME45,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
46,Item46,CUSTOMER_NAME46,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
47,Item47,CUSTOMER_NAME47,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
48,Item48,CUSTOMER_NAME48,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
49,Item49,CUSTOMER_NAME49,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
50,Item50,CUSTOMER_NAME50,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
51,Item51,CUSTOMER_NAME51,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
52,Item52,CUSTOMER_NAME52,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
53,Item53,CUSTOMER_NAME53,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
54,Item54,CUSTOMER_NAME54,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
55,Item55,CUSTOMER_NAME55,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
56,Item56,CUSTOMER_NAME56,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
57,Item57,CUSTOMER_NAME57,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
58,Item58,CUSTOMER_NAME58,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
59,Item59,CUSTOMER_NAME59,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
60,Item60,CUSTOMER_NAME60,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
61,Item61,CUSTOMER_NAME61,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
62,Item62,CUSTOMER_NAME62,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
63,Item63,CUSTOMER_NAME63,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
64,Item64,CUSTOMER_NAME64,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
65,Item65,CUSTOMER_NAME65,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
66,Item66,CUSTOMER_NAME66,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
67,Item67,CUSTOMER_NAME67,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
68,Item68,CUSTOMER_NAME68,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
69,Item69,CUSTOMER_NAME69,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
70,Item70,CUSTOMER_NAME70,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
71,Item71,CUSTOMER_NAME71,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
72,Item72,CUSTOMER_NAME72,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
73,Item73,CUSTOMER_NAME73,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
74,Item74,CUSTOMER_NAME74,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
75,Item75,CUSTOMER_NAME75,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
76,Item76,CUSTOMER_NAME76,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
77,Item77,CUSTOMER_NAME77,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
78,Item78,CUSTOMER_NAME78,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
79,Item79,CUSTOMER_NAME79,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
80,Item80,CUSTOMER_NAME80,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
81,Item81,CUSTOMER_NAME81,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
82,Item82,CUSTOMER_NAME82,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
83,Item83,CUSTOMER_NAME83,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
84,Item84,CUSTOMER_NAME84,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
85,Item85,CUSTOMER_NAME85,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
86,Item86,CUSTOMER_NAME86,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
87,Item87,CUSTOMER_NAME87,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
88,Item88,CUSTOMER_NAME88,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
89,Item89,CUSTOMER_NAME89,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
90,Item90,CUSTOMER_NAME90,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
91,Item91,CUSTOMER_NAME91,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
92,Item92,CUSTOMER_NAME92,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
93,Item93,CUSTOMER_NAME93,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
94,Item94,CUSTOMER_NAME94,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
95,Item95,CUSTOMER_NAME95,2019-12-31 23:59:00,COMPLETED,2020-01-01 23:59:00
96,Item96,CUSTOMER_NAME96,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
97,Item97,CUSTOMER_NAME97,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
98,Item98,CUSTOMER_NAME98,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
99,Item99,CUSTOMER_NAME99,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
100,Item100,CUSTOMER_NAME100,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
101,Item101,CUSTOMER_NAME101,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
102,Item102,CUSTOMER_NAME102,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
103,Item103,CUSTOMER_NAME103,2019-12-31 23:59:00,READY_FOR_PICKUP,2020-01-01 23:59:00
